username,encodedUsername,link,accountNumber,accountCreated,accountAge,linksRef
djslowdive,djslowdive,https://fark.com/users/djslowdive,250444,2005-09-29,16,5
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
djslowdive,djslowdive,https://fark.com/users/djslowdive,250444,2005-09-29,16,5
NeoMoxie,NeoMoxie,https://fark.com/users/NeoMoxie,427806,2008-09-10,13,2
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
jasonvatch,jasonvatch,https://fark.com/users/jasonvatch,213064,2005-02-15,16,28
Lioness7,Lioness7,https://fark.com/users/Lioness7,1209584,2021-07-07,0,None
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
NeoMoxie,NeoMoxie,https://fark.com/users/NeoMoxie,427806,2008-09-10,13,2
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
Psychopusher,Psychopusher,https://fark.com/users/Psychopusher,356646,2007-08-21,14,None
cryinoutloud,cryinoutloud,https://fark.com/users/cryinoutloud,46773,2002-07-23,19,11
Sorelian's Ghost,Sorelian%27s%20Ghost,https://fark.com/users/Sorelian%27s%20Ghost,985084,2016-11-08,5,14
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
AAAAGGGGHHHH,AAAAGGGGHHHH,https://fark.com/users/AAAAGGGGHHHH,1091078,2019-11-06,2,129
Mega Steve,Mega%20Steve,https://fark.com/users/Mega%20Steve,244580,2005-08-25,16,8
BigNumber12,BigNumber12,https://fark.com/users/BigNumber12,449253,2008-12-27,13,517
KRSESQ,KRSESQ,https://fark.com/users/KRSESQ,34996,2002-05-01,19,2
Some Junkie Cosmonaut,Some%20Junkie%20Cosmonaut,https://fark.com/users/Some%20Junkie%20Cosmonaut,618063,2010-12-05,11,None
Chemlight Battery,Chemlight%20Battery,https://fark.com/users/Chemlight%20Battery,994703,2017-02-19,4,5
swankywanky,swankywanky,https://fark.com/users/swankywanky,131083,2004-01-08,17,21
RepoManTSM,RepoManTSM,https://fark.com/users/RepoManTSM,460611,2009-02-28,12,None
Hey Nurse!,Hey%20Nurse%21,https://fark.com/users/Hey%20Nurse%21,1021922,2017-12-30,4,None
RepoManTSM,RepoManTSM,https://fark.com/users/RepoManTSM,460611,2009-02-28,12,None
shut_it_down,shut_it_down,https://fark.com/users/shut_it_down,453552,2009-01-21,12,None
kbronsito,kbronsito,https://fark.com/users/kbronsito,503929,2009-10-08,12,518
CFitzsimmons,CFitzsimmons,https://fark.com/users/CFitzsimmons,308772,2006-10-19,15,None
NM Volunteer,NM%20Volunteer,https://fark.com/users/NM%20Volunteer,1118916,2020-06-17,1,43
Valter,Valter,https://fark.com/users/Valter,1239419,2021-09-23,0,None
yet_another_wumpus,yet_another_wumpus,https://fark.com/users/yet_another_wumpus,618996,2010-12-08,11,None
apotheosis27,apotheosis27,https://fark.com/users/apotheosis27,277172,2006-03-15,15,None
Solty Dog,Solty%20Dog,https://fark.com/users/Solty%20Dog,234398,2005-06-24,16,8
shut_it_down,shut_it_down,https://fark.com/users/shut_it_down,453552,2009-01-21,12,None
farkitallletitend,farkitallletitend,https://fark.com/users/farkitallletitend,1225778,2021-08-17,0,None
groppet,groppet,https://fark.com/users/groppet,697272,2011-08-13,10,196
Cafe Threads,Cafe%20Threads,https://fark.com/users/Cafe%20Threads,1094256,2019-12-03,2,34
stuffy,stuffy,https://fark.com/users/stuffy,53486,2002-09-08,19,3
Miss_Dorothy_Kilgallen,Miss_Dorothy_Kilgallen,https://fark.com/users/Miss_Dorothy_Kilgallen,1076814,2019-07-08,2,196
I Swear I'll Jump,I%20Swear%20I%27ll%20Jump,https://fark.com/users/I%20Swear%20I%27ll%20Jump,1105290,2020-03-03,1,None
Merltech,Merltech,https://fark.com/users/Merltech,1205,2001-01-22,20,95
rnatalie,rnatalie,https://fark.com/users/rnatalie,122511,2003-11-24,18,2033
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Gleeman,Gleeman,https://fark.com/users/Gleeman,550709,2010-03-31,11,98
emersonbiggins,emersonbiggins,https://fark.com/users/emersonbiggins,325096,2007-02-09,14,23
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
SpectroBoy,SpectroBoy,https://fark.com/users/SpectroBoy,73694,2003-02-04,18,76
ImpendingCynic,ImpendingCynic,https://fark.com/users/ImpendingCynic,357269,2007-08-24,14,18
Somaticasual,Somaticasual,https://fark.com/users/Somaticasual,390594,2008-03-01,13,7
